source,name,norm_name,size_text,age,pro_comp,scouting_text,measurement_text
Bleacher Report mock,Isaiah Evans,isaiah evans,"6'5"", 175 lbs",19.0,Jordan Hawkins,"Isaiah Evans will be for teams who have a specific need for more shooting and floor-spacing. His limitations as a creator are known, but Evans can look very useful to teams that need off-ball scorers and shotmakers. The improvements he's made attacking in straight lines and exploding above the rim has also added an extra layer of useful offense to his game.",
Bleacher Report mock,Sergio de Larrea,sergio de larrea,"6'5"", 175 lbs",,Bogdan Bogdanović,"Sergio de Larrea is currently producing for Valencia in the EuroLeague playoffs, which is why he couldn't attend the combine. He's now put together consecutive years of accurate three-point shooting and strong playmaking rates. De Larrea is sure to draw first-round consideration, particularly if more college players go back to school before the May 27 deadline.",
Bleacher Report mock,Henri Veesaar,henri veesaar,"7'0"", 225 lbs",,Nikola Vucevic,"Henri Veesaar became one of the draft's top play-finishers who also hit 40 three-pointers. He doesn't block many shots for a 7-footer, but offensively, he has become incredibly productive and efficient with a translatable and coveted inside-out scoring package.",
Bleacher Report mock,Zuby Ejiofor,zuby ejiofor,"6'11"", 265 lbs",21.0,Jonathan Mogbo,"Zuby Ejiofor will earn looks from teams that value his energy, physicality and defensive activity. But he's also flashed enough shotmaking, face-up drives and post moves to potentially provide bonus offense at the next level.",
Bleacher Report mock,Tarris Reed Jr.,tarris reed,"6'11"", 265 lbs",22.0,Day'Ron Sharpe,"Tarris Reed Jr. put together a rare statistical season, posting a 9.0 block percentage, 13.0 offensive rebounding percentage and 15.0 assist percentage. His combination of strength, paint touch, passing and rim protection should put him in first-round conversations for teams that want bigs.",
Bleacher Report mock,Joshua Jefferson,joshua jefferson,"6'9"", 240 lbs",22.0,Kyle Anderson,"Improved shooting and a new playmaking role have turned Joshua Jefferson into a complete player and believable NBA prospect. Aside from the improved three-point efficiency, his passing has really popped the most, particularly for a 6'9"", 240-pound forward. But he's tough around the basket with strength and touch, and he's quick and smart defensively. There will be NBA teams that would rather target youth and upside, but Jefferson has turned himself into a popular name with so much versatility and adaptability.",
Bleacher Report mock,Alex Karaban,alex karaban,"6'11"", 220 lbs",22.0,Sam Hauser,"NBA teams know Alex Karaban's strengths, limitations and potential pro role after 151 college games and three Final Fours. But to see him improve athletically, which this year's combine tests show after weak results in 2024, has been deemed very encouraging. He could earn late first-round looks from teams that see an NBA-ready shooter, cutter and professional.",
Bleacher Report mock,Baba Miller,baba miller,"6'11"", 220 lbs",,Jonathan Isaac,"Baba Miller is trending upward after measuring almost 6'11"" barefoot, testing well during foot speed drills and going for 20 points during Wednesday's NBA combine scrimmage. Even if shooting remains a problem, his ability to finish/rebound like a big and handle/pass like a wing remains intriguing.",
Bleacher Report mock,Trevon Brazile,trevon brazile,"6'10"", 230 lbs",23.0,Obi Toppin,"Trevon Brazile suddenly looks like a more believable pro prospect with improved shooting and driving to complement the size and athleticism at the rim. In the second round, a team should see a bet worth making on his three-ball to reach a league-average level. He has an easy-to-project archetype and role as a stretch-4/finisher and threat to attack closeouts.",
Bleacher Report mock,Jack Kayil,jack kayil,"6'5"", 185 lbs",,Cason Wallace,Jack Kayil couldn't make it to the combine with his season still going in Germany. He earned an invite and spot on boards with shotmaking (1.7 3PTM) and an impressive 30.6 assist percentage. The fact that Kayil is staying in the draft suggests he's confident in his projected range based on feedback.,
Bleacher Report mock,Braden Smith,braden smith,"7'0"", 245 lbs",22.0,Ish Smith,"Despite obvious physical limitations, scouts still sound optimistic about Braden Smith's ability to carve out a setup role. He got to any spot he wanted to in NBA combine scrimmages, and that IQ and craftiness for creating for others could be useful to a number of teams.",
Bleacher Report mock,Ugonna Onyenso,ugonna onyenso,"7'0"", 245 lbs",,Christian Koloko,"In the 40s or 50s, the potential reward tied to Ugonna Onyenso's 7'5"" wingspan and 17.4 block percentage can outweigh his offensive limitations. Virginia unleashed him in the ACC tournament, when he swatted 21 shots in just three games, including nine against Duke and Cameron Boozer.",
Bleacher Report mock,Izaiyah Nelson,izaiyah nelson,"6'9"", 219 lbs",22.0,Jordan Bell,"So far during the predraft process, Izaiyah Nelson has made some head-turning athletic, mobility and energy plays at the Portsmouth Invitational and the NBA combine. He also measured 6'9"" with a 7'3"" wingspan, exciting numbers for a potential specialty big who can provide value with play-finishing and defensive playmaking.",
Bleacher Report mock,Richie Saunders,richie saunders,"6'5"", 200 lbs",24.0,Ben Sheppard,"A torn ACL ended Richie Saunders' career at BYU. From a draft-stock perspective, there wasn't much left for him to sell teams on. The injury shouldn't factor into the equation, with the assumption he wasn't expected to play many NBA minutes next year, anyway. He'll be an option for a team that sees a shooting specialist and finds value in the second round.",
Bleacher Report mock,Nick Martinelli,nick martinelli,"6'7"", 225 lbs",21.0,Chandler Hutchinson,"Seniors and players like Nick Martinelli could benefit from NIL bringing underclassmen back to college. Despite limited athletic ability and an unorthodox game, he was a top-10 scorer and improved shooter (41.7 percent 3PT) at 6'7"". Martinelli's scoring versatility should be worth looking into, and after two productive NBA combine scrimmages, he should have a good chance to crack top-60 boards.",
Bleacher Report mock,Otega Oweh,otega oweh,"6'4"", 220 lbs",22.0,Norman Powell,"He carried Kentucky to its first NCAA tournament win with 35 points against Santa Clara. Playing a larger role that allowed for more on-ball reps and shots, he wound up with career highs of 45 threes and 2.7 assists. Though he's missing a specialty skill, Oweh's on/off-ball versatility and defense could draw second-round interest.",
Bleacher Report mock,Jaden Bradley,jaden bradley,"6'3"", 200 lbs",22.0,Darren Collison,"Shooting has always kept interest from building around Jaden Bradley, but as the point guard for a No. 1 seed, he's done too good of a job running offense and applying pressure at both ends. NBA teams could see an interesting two-way playmaker who can penetrate, make good decisions and cause problems defensively.",
Bleacher Report mock,Emanuel Sharp,emanuel sharp,"6'4"", 215 lbs",22.0,Eddie House,Emanuel Sharp's 309 career threes should have NBA teams considering him for a shooting specialist role. He looked equally as potent during NBA combine scrimmages as he did through his time at Houston.,
Bleacher Report mock,Ryan Conwell,ryan conwell,"6'0"", 182 lbs",21.0,Ochai Agbaji,"Measuring 6'2"" could hurt the stock of a non-playmaking guard. He'll remain in the second-round mix for teams looking to add more off-ball scoring and shooting.",
Bleacher Report mock,Ja'Kobi Gillespie,ja kobi gillespie,"6'5"", 189 lbs",22.0,Marcus Sasser,"Despite measuring under 6'0"" barefoot, Ja'Kobi Gillespie's 28 points during his first combine scrimmage highlighted enticing microwave shotmaking ability. Between his perimeter scoring firepower and playmaking at Tennessee, teams could picture an instant-offense guard to bring off the bench.",
Bleacher Report mock,Aaron Nkrumah,aaron nkrumah,"6'7"", 214 lbs",24.0,Keon Ellis,"Aaron Nkrumah has capitalized on the draft process, having impressed at the G League Camp and earned an invite to the NBA combine. He looked like he belonged there during scrimmages, and given the archetype his frame, improved shooting, 3.0 assists and 2.8 steals can create, there should be enough second-round interest in Nkrumah after he presumably goes through over a dozen workouts.",
Bleacher Report mock,Tobi Lawal,tobi lawal,"6'7"", 218 lbs",23.0,Derrick Jones,"The combination of 6'7"" size and near record-setting bounce could be enough for a team to draft Tobi Lawal in the second round. His ability to make athletic finishes and plays that others can't has become worth looking into for a specialty role.",
Bleacher Report mock,Dillon Mitchell,dillon mitchell,"6'4"", 195 lbs",22.0,Herb Jones,"It may take a specific general manager and roster to see value in Dillon Mitchell's game, but he sold it very well on Wednesday. Athleticism for finishing, strong passing instincts, defensive tools and motor create glue-guy potential worth looking at in the second round.",
Bleacher Report mock,Milos Uzan,milos uzan,"6'2"", 205 lbs",22.0,Andrew Nembhard,"Milos Uzan hasn't shot well from three this year, but there is enough evidence of shotmaking to look past this season's percentages. His float game, passing IQ and backcourt versatility should have scouts willing to gamble on the possibility that Uzan's jumper will be better than the numbers suggest.",
Bleacher Report mock,Kylan Boswell,kylan boswell,"6'10"", 216 lbs",20.0,Cory Joseph,"Kylan Boswell still doesn't look like a reliable shooter, but he's been threatening enough for a guard who shoots 61.0 percent inside the arc, makes smart decisions and adds a sense of leadership. He's been one of the nation's top-graded pick-and-roll ball-handlers throughout the season.",
Bleacher Report mock,Wyatt Fricks,wyatt fricks,"6'10"", 216 lbs",23.0,Dean Wade,Wyatt Fricks is earning workouts after making 51 threes and blocking 48 shots. He's an interesting late second-round option for teams interested in adding a stretch big who keeps improving his shooting.,
Bleacher Report mock,Duke Miles,duke miles,"6'10"", 237 lbs",24.0,Miles McBride,"Duke Miles should be on teams' second-round radar after a year of improved pull-up shooting and playmaking. He'll earn a chance at the next level with his defensive pressure, but he's become a more well-rounded offensive weapon creating in ball-screen situations and making jumpers off the catch and dribble.",
Bleacher Report mock,Felix Okpara,felix okpara,"6'10"", 237 lbs",,Trey Jemison,"At 237 pounds with a 9'4"" reach, Felix Okpara's body type and measurements alone should be worth drafting in the second round. He had some strong moments at the NBA combine showcasing his finishing and shot-blocking tools.",
Bleacher Report mock,Maliq Brown,maliq brown,"6'2"", 215 lbs",22.0,Anton Watson,"The nation's leader defensive box plus-minus, Maliq Brown was also a productive player during scrimmages at the NBA combine. He's limited and unorthodox offensively, but his defensive instincts, passing and finishing should earn him a top-60 spot on boards.",
Bleacher Report mock,Bruce Thornton,bruce thornton,"6'11"", 220 lbs",22.0,KJ Simpson,The undersized label won't look as worrisome this late in the second round. Thornton has shown improvement each season to become one of the nation's most well-rounded scoring guards with on-ball creation and off-ball and off-ball shooting.,
Bleacher Report mock,Rafael Castro,rafael castro,"6'7"", 225",23.0,Brice Johnson,"Rafael Castro's standout showing at the Portsmouth Invitational led to a G League Elite Camp, an NBA combine invite—and scouts going back to review more film from George Washington. At 6'10"", his quickness and bounce translate to easy baskets off cuts, rolls and offensive boards. His 19.1 rebounding percentage, 3.7 steal percentage and 7.6 block percentage remain promising indicators for defensive upside.",
Bleacher Report mock,Keyshawn Hall,keyshawn hall,"6'9"", 240 lbs",23.0,Cleanthony Early,"On his fourth school in four years, Keyshawn Hall was an incredibly efficient spot-up scorer with his catch-and-shoot game and slashing. Age and poor defense hold him back, but late in the second round, a team could see a gamble worth taking on a 6'7"", 240-pound wing averaging over 20 points in the SEC.",
Bleacher Report mock,Trey Kaufman-Renn,trey kaufman renn,"6'9"", 240 lbs",23.0,Armando Bacot,"Though not the flashiest or most versatile big, Trey Kaufman-Renn consistently produced off his soft hands, instincts and motor. He's an option for teams that see the interior scoring, passing and rebounding translating.",
Yahoo/KOC big board,Cameron Boozer,cameron boozer,,,,"At 6-foot-8 and 253 pounds, Boozer is the most polished player in the class. He scores from the post with both footwork and power, hits 40% of his 3s on high volume, and has enough handle to run offense as a point forward. He shifts between those modes based on what the defense gives him, and that adaptability led to a 35-win season at Duke and the Naismith Player of the Year. The worry is that he’s not a vertical athlete and the foundation of all that production — overpowering smaller defenders — gets diminished against NBA length. Plus, he’s a modern tweener on defense, lacking the explosiveness and size to protect the rim full-time and the lateral quickness to switch onto guards. With the bloodline of two-time All-Star Carlos Boozer, the team that drafts him is betting that skill, adaptability, and a track record of winning at every level all lead to superstardom.",
Yahoo/KOC big board,AJ Dybantsa,aj dybantsa,,,,"Dybantsa could become one of the NBA’s most unstoppable shot-creators. At 6-foot-9, he has a special blend of athletic tools the way he bends, shifts, and explodes with the ball in his hands. Dybantsa led the nation with 25.5 points per game while breaking Danny Ainge’s 48-year-old BYU freshman scoring record with a 43-point eruption. He gets to the rim at will, cooks in the midrange, draws fouls at a high rate, and displays point forward potential. What will determine his upside is whether he can become a knockdown 3-point shooter, as well as a more impactful defender to take full advantage of his physical tools. But the native of Brockton, Mass., has a tremendously high floor with his scoring skill alone.",
Yahoo/KOC big board,Darryn Peterson,darryn peterson,,,,"Peterson is a buttery smooth scorer with a blend of fluid body control and positional size that gives him the ingredients to become an elite NBA player. At the high school level, he was a dynamic playmaker who used his burst to get into the teeth of defenses and generate buckets for himself and his teammates, while also showing off the kind of shot-making that draws comparisons to Hall of Famers. At Kansas, he thrived in an off-ball role, stroking jumpers out of movement actions and showing he can scale up or down depending on what a roster needs. Even when he isn't scoring, he's a high-impact defender who causes chaos off-ball and has the 6-foot-11 wingspan to switch screens. The concern isn't his game. It's his body. He missed 11 of 35 games and pulled himself out of others due to cramping, capping off one of the weirdest freshman seasons in recent memory. Questions about his burst, his availability, and what exactly is going on under the hood are going to define how NBA front offices feel about him at the top of this draft.",
Yahoo/KOC big board,Caleb Wilson,caleb wilson,,,,"Wilson is the most gifted athlete in the draft class. He's 6-foot-9 with springs for legs. When he's flying above the rim, finishing through contact, and chasing down every shot in his area code, he looks like a future franchise cornerstone. But the conversation changes when you watch his jumper because he hasn’t shown any consistency as a shooter at any level. Still, even without the jumper, he has star upside.",
Yahoo/KOC big board,Mikel Brown Jr.,mikel brown,,,,"When Brown is in the zone, he has an unstoppable pull-up jumper, an ambidextrous finishing ability, and the quick reads to rifle passes before the defense has time to react. He had a 45-point breakout performance in February after a back injury dogged him all freshman year and then ended his year later in the month. The absences muddy the evaluation and leave real questions about his consistency that may not get answered until he’s fully healthy.",
Yahoo/KOC big board,Keaton Wagler,keaton wagler,,,,"Wagler showed up at Illinois as a four-star recruit with no expectations of becoming a one-and-done. But he quickly became the orchestrator of a high-powered Illinois offense with his high-IQ playmaking and crafty scoring. Then he scored 46 at Purdue against a top-ranked team in the country — the most points by any freshman in Big Ten history. Then he kept rolling, and led the team to an unexpected Final Four appearance. Now he’s a lottery lock, but he’s a quirky player in that he logged zero dunks. To become an NBA star, Wagler needs to overcome a lack of traditional athleticism. But the best case is that his feel for the game is enough for him to continue ascending.",
Yahoo/KOC big board,Darius Acuff Jr.,darius acuff,,,,"Acuff is not the biggest guard or the most explosive athlete, but he reads defenses like someone who's been in the league for a decade. He emerged as a freshman as a skilled, low-turnover playmaker. And that’s not even what he’s best at. Acuff is a wiry scorer who can get a bucket from anywhere on the floor with a quick trigger, slippery handle, and a feel for manipulating defenses. He has a knack for clutch moments too. The question that follows every undersized guard into the draft is whether the brilliance survives contact with bigger, longer, faster defenders.",
Yahoo/KOC big board,Brayden Burries,brayden burries,,,,"Burries arrived at Arizona as a top-10 recruit, started slow, and then erupted once conference play began, helping lead his team to the Final Four. He's a physical, versatile scorer who can beat you from all three levels, rebounds like a forward, and competes hard on defense. But he's a methodical creator rather than an explosive one, and his shooting history before Arizona gives scouts reason to wonder whether the efficiency is real or a blip.",
Yahoo/KOC big board,Aday Mara,aday mara,,,,"Mara stepped on UCLA’s campus as a lottery-projected center from Spain. Then he fell off draft boards during two forgettable seasons there before transferring to Michigan and becoming one of the best true 5s in the country on his way to winning the national championship. He reads the floor like a guard, finishes with both hands, and swats shots with elite timing. The complication is he doesn't shoot from outside, makes below 60% of his free throws, and opponents are going to attack him on the perimeter.",
Yahoo/KOC big board,Nate Ament,nate ament,,,,"Players who can handle, shoot off the dribble, and stand at 6-foot-10 don’t grow on trees. This physical foundation kept Ament in lottery consideration even after a dreadful start to his freshman season when he struggled to score efficiently and make an impact defensively. But over the second half of the year for Tennessee, he flipped a switch and shots began to fall. He averaged 23.8 points over a six-game stretch in January and February that reminded everyone why he was a top recruit in the country. Then he dealt with an ankle injury that ruined his momentum entering March and he severely struggled during the tournament.",
NBA Draft Room big board,AJ Dybantsa,aj dybantsa,,,,– AJ stays at no.1 both for his upside and his seemingly high floor. He’s almost guaranteed to score the ball in bunches at the NBA level and has the type of competitive fire you want from your franchise cornerstone. There are areas of his game that need improvement but he already brings so much to the table that I feel comfortable having him at the top of this loaded draft class.,– 6-9 – BYU
NBA Draft Room big board,Darryn Peterson,darryn peterson,,,,– The enigma that is Darryn Peterson comes with loads of scoring talent and a nice all around game checkered with a few orange flags. If he hits he’ll be the best player from this class but his one year at Kansas raised enough questions in my mind that he falls to no.2 on my big board.,– 6-5 – Kansas
NBA Draft Room big board,Caleb Wilson,caleb wilson,,,,"– I have to trust my eyes when it comes to evaluating Caleb Wilson. I get that its unusual to have him over Boozer but I’m so enamored with Wilson’s athletic traits, production and upside that I can’t have him lower than this. I first moved Wilson to the no.3 spot back",– 6-10 – North Carolina
NBA Draft Room big board,Cameron Boozer,cameron boozer,,,,"If Boozer falls to no.4 a team will be getting awesome value and a future cornerstone of their franchise. While I don’t see the same level of upside that some see with him, I still think Boozer will be a bona fide All Star and be really good for a really long time. The top of this draft is loaded and all of the top 4 guys are likely to be stars.",– 6-9 – Duke –
NBA Draft Room big board,Kingston Flemings,kingston flemings,,,,– With this ranking it’s more about projection than a finished product. Flemings has unique athletic traits and the type of explosive first step and above the rim ability that great NBA guards have. He shot the ball better than expected this season for Houston but still has room for growth with his shooting form and consistency. If he can really be a knock-down shooter he’s going to be special.,– 6-4 – Houston
NBA Draft Room big board,Darius Acuff Jr.,darius acuff,,,,"– Acuff Jr. has a level of polish to his game that you don’t often see from young guards coming into the league. He’s not the biggest guy and not an above the rim athlete but he’s got a special ability to put the ball in the basket and make big shots in big moments. It’s going to be really fun to see where he lands, to see if he gets the keys to a NBA offense and to watch how his game translates to the NBA.",– 6-2 – Arkansas
NBA Draft Room big board,Mikel Brown Jr.,mikel brown,,,,– I’m tempted to have Brown in Tier 2. I think he can be a nuclear scorer at the next level and could end up as one of the better 3pt shooters in the league before too long. Add in his explosive athleticism and good feel for finding teammates and he’s close to being an elite prospect.,– 6-5 – Louisville
NBA Draft Room big board,Keaton Wagler,keaton wagler,,,,. – Wagler’s meteoric rise up draft boards culminates with him being a top 10 player on many lists and a sure-fire lottery pick. I love his feel and his uncanny ability to get to his spots. NBA size and athleticism will be an adjustment for him (as it is for everyone) but I think he can continue to be effective with his herky-jerky style of play.,– 6-6 – Illinois
